date,time,currency,impact,event,actual,forecast,previous
Apr 1,7:15am,USD,red,ADP Non-Farm Employment Change,62K,41K,66K
Apr 1,7:30am,USD,red,Core Retail Sales m/m,0.5%,0.3%,0.0%
Apr 1,7:30am,USD,red,Retail Sales m/m,0.6%,0.5%,-0.1%
Apr 1,9:00am,USD,red,ISM Manufacturing PMI,52.7,52.3,52.4
Apr 1,8:00pm,USD,red,President Trump Speaks,N/A,N/A,N/A
Apr 2,7:30am,USD,red,Unemployment Claims,202K,212K,211K
Apr 3,7:30am,USD,red,Average Hourly Earnings m/m,0.2%,0.3%,0.4%
Apr 3,7:30am,USD,red,Non-Farm Employment Change,178K,65K,-133K
Apr 3,7:30am,USD,red,Unemployment Rate,4.3%,4.4%,4.4%
Apr 6,9:00am,USD,red,ISM Services PMI,54.0,54.8,56.1
Apr 6,12:00pm,USD,red,President Trump Speaks,N/A,N/A,N/A
Apr 7,9:00pm,NZD,red,Official Cash Rate,2.25%,2.25%,2.25%
Apr 7,9:00pm,NZD,red,RBNZ Rate Statement,N/A,N/A,N/A
Apr 7,10:00pm,NZD,red,RBNZ Press Conference,N/A,N/A,N/A
Apr 8,1:00pm,USD,red,FOMC Meeting Minutes,N/A,N/A,N/A
Apr 9,7:30am,USD,red,Core PCE Price Index m/m,0.4%,0.4%,0.4%
Apr 9,7:30am,USD,red,Final GDP q/q,0.5%,0.7%,0.7%
Apr 10,7:30am,CAD,red,Employment Change,14.1K,14.5K,-83.9K
Apr 10,7:30am,CAD,red,Unemployment Rate,6.7%,6.8%,6.7%
Apr 10,7:30am,USD,red,Core CPI m/m,0.2%,0.3%,0.2%
Apr 10,7:30am,USD,red,Core CPI y/y,2.6%,2.7%,2.5%
Apr 10,7:30am,USD,red,CPI m/m,0.9%,1.0%,0.3%
Apr 10,7:30am,USD,red,CPI y/y,3.3%,3.4%,2.4%
Apr 14,7:30am,USD,red,Core PPI m/m,0.1%,0.4%,0.3%
Apr 14,7:30am,USD,red,PPI m/m,0.5%,1.1%,0.5%
Apr 15,8:30pm,AUD,red,Employment Change,17.9K,19.1K,49.7K
Apr 15,8:30pm,AUD,red,Unemployment Rate,4.3%,4.3%,4.3%
Apr 16,1:00am,GBP,red,GDP m/m,0.5%,0.1%,0.1%
Apr 20,7:30am,CAD,red,CPI m/m,0.9%,1.1%,0.5%
Apr 20,7:30am,CAD,red,Median CPI y/y,2.3%,2.4%,2.3%
Apr 20,7:30am,CAD,red,Trimmed CPI y/y,2.2%,2.3%,2.3%
Apr 20,5:45pm,NZD,red,CPI q/q,0.9%,0.8%,0.6%
Apr 21,1:00am,GBP,red,Claimant Count Change,26.8K,22.6K,17.1K
Apr 21,7:30am,USD,red,Core Retail Sales m/m,1.9%,1.4%,0.7%
Apr 21,7:30am,USD,red,Retail Sales m/m,1.7%,1.4%,0.7%
Apr 21,9:00am,USD,red,Fed Chairman Warsh Testifies,N/A,N/A,N/A
Apr 22,1:00am,GBP,red,CPI y/y,3.3%,3.3%,3.0%
Apr 23,2:30am,EUR,red,German Flash Manufacturing PMI,51.2,51.4,52.2
Apr 23,2:30am,EUR,red,German Flash Services PMI,46.9,50.4,50.9
Apr 23,3:30am,GBP,red,Flash Manufacturing PMI,53.6,50.3,51.0
Apr 23,3:30am,GBP,red,Flash Services PMI,52.0,50.0,50.5
Apr 24,1:00am,GBP,red,Retail Sales m/m,0.7%,0.0%,-0.6%
Apr 27,10:04pm,JPY,red,BOJ Outlook Report,N/A,N/A,N/A
Apr 27,10:04pm,JPY,red,BOJ Policy Rate,<0.75%,<0.75%,<0.75%
Apr 27,10:04pm,JPY,red,Monetary Policy Statement,N/A,N/A,N/A
Apr 28,1:30am,JPY,red,BOJ Press Conference,N/A,N/A,N/A
Apr 28,8:30pm,AUD,red,CPI m/m,1.1%,1.3%,0.0%
Apr 28,8:30pm,AUD,red,CPI y/y,4.6%,4.8%,3.7%
Apr 28,8:30pm,AUD,red,Trimmed Mean CPI m/m,0.3%,0.3%,0.2%
Apr 29,8:45am,CAD,red,BOC Monetary Policy Report,N/A,N/A,N/A
Apr 29,8:45am,CAD,red,BOC Rate Statement,N/A,N/A,N/A
Apr 29,8:45am,CAD,red,Overnight Rate,2.25%,2.25%,2.25%
Apr 29,9:30am,CAD,red,BOC Press Conference,N/A,N/A,N/A
Apr 29,1:00pm,USD,red,Federal Funds Rate,3.75%,3.75%,3.75%
Apr 29,1:00pm,USD,red,FOMC Statement,N/A,N/A,N/A
Apr 29,1:30pm,USD,red,FOMC Press Conference,N/A,N/A,N/A
Apr 30,6:00am,GBP,red,BOE Monetary Policy Report,N/A,N/A,N/A
Apr 30,6:00am,GBP,red,Monetary Policy Summary,N/A,N/A,N/A
Apr 30,6:00am,GBP,red,MPC Official Bank Rate Votes,1-0-8,1-0-8,0-0-9
Apr 30,6:00am,GBP,red,Official Bank Rate,3.75%,3.75%,3.75%
Apr 30,6:30am,GBP,red,BOE Gov Bailey Speaks,N/A,N/A,N/A
Apr 30,7:15am,EUR,red,Main Refinancing Rate,2.15%,2.15%,2.15%
Apr 30,7:15am,EUR,red,Monetary Policy Statement,N/A,N/A,N/A
Apr 30,7:30am,CAD,red,GDP m/m,0.2%,0.2%,0.1%
Apr 30,7:30am,USD,red,Advance GDP q/q,2.0%,2.2%,0.5%
Apr 30,7:30am,USD,red,Core PCE Price Index m/m,0.3%,0.3%,0.4%
Apr 30,7:30am,USD,red,Employment Cost Index q/q,0.9%,0.8%,0.7%
Apr 30,7:45am,EUR,red,ECB Press Conference,N/A,N/A,N/A
