date,time,currency,impact,event,actual,forecast,previous
Aug 30,3:15pm,ALL,yellow,G20 Meetings,N/A,N/A,N/A
Aug 30,11:50pm,JPY,yellow,Prelim Industrial Production m/m,N/A,-0.7%,1.3%
Aug 30,11:50pm,JPY,yellow,Retail Sales y/y,N/A,3.2%,0.5%
Aug 31,1:00am,AUD,yellow,MI Inflation Gauge m/m,N/A,N/A,1.0%
Aug 31,1:00am,NZD,yellow,ANZ Business Confidence,N/A,N/A,56.1
Aug 31,1:30am,AUD,yellow,Company Operating Profits q/q,N/A,2.0%,-1.3%
Aug 31,1:30am,AUD,yellow,Private Sector Credit m/m,N/A,0.7%,0.8%
Aug 31,1:30am,CNY,yellow,Manufacturing PMI,N/A,49.5,49.2
Aug 31,1:30am,CNY,yellow,Non-Manufacturing PMI,N/A,49.5,49.0
Aug 31,5:00am,JPY,yellow,Housing Starts y/y,N/A,7.5%,18.6%
Aug 31,6:29am,EUR,orange,German Prelim CPI m/m,N/A,0.3%,0.8%
Aug 31,7:00am,GBP,gray,Bank Holiday,N/A,N/A,N/A
Aug 31,3:15pm,ALL,yellow,G20 Meetings,N/A,N/A,N/A
Aug 31,11:01pm,GBP,yellow,BRC Shop Price Index y/y,N/A,0.9%,0.9%
Aug 31,11:50pm,JPY,yellow,Capital Spending q/y,N/A,-0.2%,0.0%
Sep 1,12:30am,JPY,yellow,Final Manufacturing PMI,N/A,55.1,55.1
Sep 1,1:30am,AUD,yellow,Building Approvals m/m,N/A,-4.7%,7.2%
Sep 1,1:30am,AUD,yellow,Current Account,N/A,-29.7B,-27.1B
Sep 1,1:45am,CNY,yellow,RatingDog Manufacturing PMI,N/A,51.0,50.9
Sep 1,3:35am,JPY,yellow,10-y Bond Auction,N/A,N/A,2.84|2.6
Sep 1,5:00am,JPY,yellow,Consumer Confidence,N/A,35.3,34.9
Sep 1,6:00am,EUR,yellow,German Retail Sales m/m,N/A,0.4%,-0.7%
Sep 1,6:00am,GBP,yellow,Nationwide HPI m/m,N/A,0.1%,0.1%
Sep 1,6:30am,AUD,yellow,Commodity Prices y/y,N/A,N/A,15.4%
Sep 1,6:33am,CHF,yellow,Retail Sales y/y,N/A,1.6%,1.5%
Sep 1,7:15am,EUR,yellow,Spanish Manufacturing PMI,N/A,50.3,50.2
Sep 1,7:30am,CHF,yellow,Manufacturing PMI,N/A,54.1,53.2
Sep 1,7:45am,EUR,yellow,Italian Manufacturing PMI,N/A,51.4,51.3
Sep 1,7:50am,EUR,yellow,French Final Manufacturing PMI,N/A,51.5,51.5
Sep 1,7:55am,EUR,yellow,German Final Manufacturing PMI,N/A,54.1,54.1
Sep 1,8:00am,EUR,yellow,Final Manufacturing PMI,N/A,52.8,52.8
Sep 1,8:30am,EUR,yellow,Italian Monthly Unemployment Rate,N/A,5.6%,5.7%
Sep 1,8:30am,GBP,yellow,Final Manufacturing PMI,N/A,51.5,51.5
Sep 1,8:30am,GBP,yellow,M4 Money Supply m/m,N/A,0.9%,0.8%
Sep 1,8:30am,GBP,yellow,Mortgage Approvals,N/A,59K,58K
Sep 1,8:30am,GBP,yellow,Net Lending to Individuals m/m,N/A,7.2B,9.5B
Sep 1,9:00am,EUR,orange,Core CPI Flash Estimate y/y,N/A,2.5%,2.5%
