event_date,time_raw,event_datetime_utc,event_datetime_hcm,currency,impact,event,actual,forecast,previous,source_timezone,updated_at
2026-03-02,10:00pm,2026-03-02T15:00:00+00:00,2026-03-02T22:00:00+07:00,USD,orange,ISM Manufacturing Prices,70.5,60.6,59.0,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,10:30pm,2026-03-02T15:30:00+00:00,2026-03-02T22:30:00+07:00,GBP,yellow,MPC Member Ramsden Speaks,,,,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,11:00pm,2026-03-02T16:00:00+00:00,2026-03-02T23:00:00+07:00,USD,orange,President Trump Speaks,,,,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,12:30pm,2026-03-02T05:30:00+00:00,2026-03-02T12:30:00+07:00,AUD,yellow,Commodity Prices y/y,3.4%,,2.8%,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,2:00pm,2026-03-02T07:00:00+00:00,2026-03-02T14:00:00+07:00,EUR,yellow,German Retail Sales m/m,-0.9%,0.0%,1.2%,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,2:00pm,2026-03-02T07:00:00+00:00,2026-03-02T14:00:00+07:00,GBP,yellow,Nationwide HPI m/m,0.3%,0.2%,0.3%,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,2:30pm,2026-03-02T07:30:00+00:00,2026-03-02T14:30:00+07:00,CHF,yellow,Retail Sales y/y,-1.1%,2.7%,2.8%,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,3:15pm,2026-03-02T08:15:00+00:00,2026-03-02T15:15:00+07:00,EUR,yellow,Spanish Manufacturing PMI,50.0,49.9,49.2,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,3:30pm,2026-03-02T08:30:00+00:00,2026-03-02T15:30:00+07:00,CHF,yellow,Manufacturing PMI,47.4,49.8,48.8,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,3:45pm,2026-03-02T08:45:00+00:00,2026-03-02T15:45:00+07:00,EUR,yellow,Italian Manufacturing PMI,50.6,49.1,48.1,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,3:50pm,2026-03-02T08:50:00+00:00,2026-03-02T15:50:00+07:00,EUR,yellow,French Final Manufacturing PMI,50.1,49.9,49.9,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,3:55pm,2026-03-02T08:55:00+00:00,2026-03-02T15:55:00+07:00,EUR,yellow,German Final Manufacturing PMI,50.9,50.7,50.7,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,4:00pm,2026-03-02T09:00:00+00:00,2026-03-02T16:00:00+07:00,EUR,yellow,Final Manufacturing PMI,50.8,50.8,50.8,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,4:30pm,2026-03-02T09:30:00+00:00,2026-03-02T16:30:00+07:00,GBP,yellow,Final Manufacturing PMI,51.7,52.0,52.0,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,4:30pm,2026-03-02T09:30:00+00:00,2026-03-02T16:30:00+07:00,GBP,yellow,M4 Money Supply m/m,-0.1%,0.2%,0.4%,Asia/Novosibirsk,2026-09-03T06:49:22Z
2026-03-02,4:30pm,2026-03-02T09:30:00+00:00,2026-03-02T16:30:00+07:00,GBP,yellow,Mortgage Approvals,60K,62K,61K,Asia/Novosibirsk,2026-09-03T06:49:22Z
