event_uid,event_date,time_raw,event_datetime_utc,event_datetime_hcm,currency,impact,event,actual,forecast,previous,source_timezone,first_seen_at,updated_at
fcef039f36637d61,2026-09-01,,,,EUR,orange,CPI Flash Estimate y/y,3.3%,3.3%,2.9%,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-03T07:55:34Z
bc260cd7e4cbda85,2026-09-01,10:00am,2026-09-01T14:00:00+00:00,2026-09-01T21:00:00+07:00,USD,red,ISM Manufacturing PMI,,55.2,55.6,America/New_York,2026-09-07T06:01:18Z,2026-09-07T06:01:18Z
a13072238eb424da,2026-09-01,10:15am,2026-09-01T14:15:00+00:00,2026-09-01T21:15:00+07:00,USD,yellow,Omdia Total Vehicle Sales,,16.3M,16.3M,America/New_York,2026-09-07T06:01:18Z,2026-09-07T06:01:18Z
972eac5e031df78e,2026-09-01,10:25pm,2026-09-01T15:25:00+00:00,2026-09-01T22:25:00+07:00,NZD,yellow,GDT Price Index,0.9%,,2.3%,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-03T07:55:34Z
92a0a25193fb16fe,2026-09-01,10:35am,2026-09-01T03:35:00+00:00,2026-09-01T10:35:00+07:00,JPY,yellow,10-y Bond Auction,3.00|3.3,,2.84|2.6,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-03T07:55:34Z
13b10737df9fd63e,2026-09-01,11:15am,2026-09-01T15:15:00+00:00,2026-09-01T22:15:00+07:00,ALL,yellow,G20 Meetings,,,,America/New_York,2026-09-07T06:01:18Z,2026-09-07T06:01:18Z
2a641bdcf9cc1016,2026-09-01,12:00pm,2026-09-01T05:00:00+00:00,2026-09-01T12:00:00+07:00,JPY,yellow,Consumer Confidence,35.5,35.3,34.9,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-03T07:55:34Z
26e2185ff24cf5a9,2026-09-01,1:00pm,2026-09-01T06:00:00+00:00,2026-09-01T13:00:00+07:00,EUR,yellow,German Retail Sales m/m,-3.4%,0.4%,0.0%,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-07T13:43:21Z
7077ac284ddee53f,2026-09-01,1:00pm,2026-09-01T06:00:00+00:00,2026-09-01T13:00:00+07:00,GBP,yellow,Nationwide HPI m/m,0.2%,0.1%,-0.1%,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-07T13:43:21Z
a5e44aed3b492437,2026-09-01,1:30pm,2026-09-01T06:30:00+00:00,2026-09-01T13:30:00+07:00,AUD,yellow,Commodity Prices y/y,15.5%,,17.2%,Asia/Novosibirsk,2026-09-03T07:55:34Z,2026-09-07T13:43:21Z
