datetime,currency,impact,event,actual,forecast,previous,category_lv1,category_lv2,category_lv3,date,time
2024-01-01 00:00:00,NZD,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,AUD,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,JPY,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,CNY,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,CHF,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,EUR,gray,French Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,EUR,gray,German Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,EUR,gray,Italian Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,GBP,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,CAD,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-01 00:00:00,USD,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-01 00:00:00,00:00:00
2024-01-02 00:00:00,NZD,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-02 00:00:00,00:00:00
2024-01-02 00:00:00,JPY,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-02 00:00:00,00:00:00
2024-01-02 07:01:00,GBP,yellow,BRC Shop Price Index y/y,0.043,,0.043,other,unspecified,y/y,2024-01-02 00:00:00,07:01:00
2024-01-02 08:45:00,CNY,orange,Caixin Manufacturing PMI,50.8,50.4,50.7,production indicators,manufacturing pmi,unspecified,2024-01-02 00:00:00,08:45:00
2024-01-02 12:30:00,AUD,yellow,Commodity Prices y/y,-0.107,,-0.128,other,unspecified,y/y,2024-01-02 00:00:00,12:30:00
2024-01-02 00:00:00,CHF,gray,Bank Holiday,,,,holiday,bank holiday,unspecified,2024-01-02 00:00:00,00:00:00
2024-01-02 15:15:00,EUR,yellow,Spanish Manufacturing PMI,46.2,46.3,46.3,production indicators,manufacturing pmi,unspecified,2024-01-02 00:00:00,15:15:00
