Subject,Start Date,Start Time,End Date,End Time,Description,Location
Average Hourly Earnings m/m,09/06/2024,19:30,09/06/2024,20:30,High Impact Event,USD
Non-Farm Employment Change,09/06/2024,19:30,09/06/2024,20:30,High Impact Event,USD
Unemployment Rate,09/06/2024,19:30,09/06/2024,20:30,High Impact Event,USD
FOMC Member Waller Speaks,09/06/2024,22:00,09/06/2024,23:00,High Impact Event,USD
Claimant Count Change,09/10/2024,13:00,09/10/2024,14:00,High Impact Event,GBP
GDP m/m,09/11/2024,13:00,09/11/2024,14:00,High Impact Event,GBP
Core CPI m/m,09/11/2024,19:30,09/11/2024,20:30,High Impact Event,USD
CPI m/m,09/11/2024,19:30,09/11/2024,20:30,High Impact Event,USD
CPI y/y,09/11/2024,19:30,09/11/2024,20:30,High Impact Event,USD
Main Refinancing Rate,09/12/2024,19:15,09/12/2024,20:15,High Impact Event,EUR
Monetary Policy Statement,09/12/2024,19:15,09/12/2024,20:15,High Impact Event,EUR
Core PPI m/m,09/12/2024,19:30,09/12/2024,20:30,High Impact Event,USD
PPI m/m,09/12/2024,19:30,09/12/2024,20:30,High Impact Event,USD
Unemployment Claims,09/12/2024,19:30,09/12/2024,20:30,High Impact Event,USD
ECB Press Conference,09/12/2024,19:45,09/12/2024,20:45,High Impact Event,EUR
Core Retail Sales m/m,09/17/2024,19:30,09/17/2024,20:30,High Impact Event,USD
Retail Sales m/m,09/17/2024,19:30,09/17/2024,20:30,High Impact Event,USD
CPI y/y,09/18/2024,13:00,09/18/2024,14:00,High Impact Event,GBP
Federal Funds Rate,09/19/2024,01:00,09/19/2024,02:00,High Impact Event,USD
FOMC Economic Projections,09/19/2024,01:00,09/19/2024,02:00,High Impact Event,USD
FOMC Statement,09/19/2024,01:00,09/19/2024,02:00,High Impact Event,USD
FOMC Press Conference,09/19/2024,01:30,09/19/2024,02:30,High Impact Event,USD
Monetary Policy Summary,09/19/2024,18:00,09/19/2024,19:00,High Impact Event,GBP
MPC Official Bank Rate Votes,09/19/2024,18:00,09/19/2024,19:00,High Impact Event,GBP
Official Bank Rate,09/19/2024,18:00,09/19/2024,19:00,High Impact Event,GBP
Unemployment Claims,09/19/2024,19:30,09/19/2024,20:30,High Impact Event,USD
Retail Sales m/m,09/20/2024,13:00,09/20/2024,14:00,High Impact Event,GBP
French Flash Manufacturing PMI,09/23/2024,14:15,09/23/2024,15:15,High Impact Event,EUR
French Flash Services PMI,09/23/2024,14:15,09/23/2024,15:15,High Impact Event,EUR
German Flash Manufacturing PMI,09/23/2024,14:30,09/23/2024,15:30,High Impact Event,EUR
German Flash Services PMI,09/23/2024,14:30,09/23/2024,15:30,High Impact Event,EUR
Flash Manufacturing PMI,09/23/2024,15:30,09/23/2024,16:30,High Impact Event,GBP
Flash Services PMI,09/23/2024,15:30,09/23/2024,16:30,High Impact Event,GBP
Flash Manufacturing PMI,09/23/2024,20:45,09/23/2024,21:45,High Impact Event,USD
Flash Services PMI,09/23/2024,20:45,09/23/2024,21:45,High Impact Event,USD
CB Consumer Confidence,09/24/2024,21:00,09/24/2024,22:00,High Impact Event,USD
Final GDP q/q,09/26/2024,19:30,09/26/2024,20:30,High Impact Event,USD
Unemployment Claims,09/26/2024,19:30,09/26/2024,20:30,High Impact Event,USD
Core PCE Price Index m/m,09/27/2024,19:30,09/27/2024,20:30,High Impact Event,USD
German Prelim CPI m/m,09/30/2024,00:00,09/30/2024,23:59,High Impact Event,EUR
