Subject,Start Date,Start Time,End Date,End Time,Description,Location
ISM Manufacturing PMI,01/05/2026,22:00,01/05/2026,23:00,Forecast: 48.3 | Actual: 47.9 | Previous: 48.2 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
ADP Non-Farm Employment Change,01/07/2026,20:15,01/07/2026,21:15,Forecast: 49K | Actual: 41K | Previous: -29K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
ISM Services PMI,01/07/2026,22:00,01/07/2026,23:00,Forecast: 52.2 | Actual: 54.4 | Previous: 52.6 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
JOLTS Job Openings,01/07/2026,22:00,01/07/2026,23:00,Forecast: 7.61M | Actual: 7.15M | Previous: 7.45M | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Unemployment Claims,01/08/2026,20:30,01/08/2026,21:30,Forecast: 213K | Actual: 208K | Previous: 200K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Average Hourly Earnings m/m,01/09/2026,20:30,01/09/2026,21:30,Forecast: 0.3% | Actual: 0.3% | Previous: 0.1% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Non-Farm Employment Change,01/09/2026,20:30,01/09/2026,21:30,Forecast: 66K | Actual: 50K | Previous: 56K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Unemployment Rate,01/09/2026,20:30,01/09/2026,21:30,Forecast: 4.5% | Actual: 4.4% | Previous: 4.6% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Prelim UoM Consumer Sentiment,01/09/2026,22:00,01/09/2026,23:00,Forecast: 53.5 | Actual: 54.0 | Previous: 52.9 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Prelim UoM Inflation Expectations,01/09/2026,22:00,01/09/2026,23:00,Forecast: N/A | Actual: 4.2% | Previous: 4.2% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Core CPI m/m,01/13/2026,20:30,01/13/2026,21:30,Forecast: 0.3% | Actual: 0.2% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Core CPI y/y,01/13/2026,20:30,01/13/2026,21:30,Forecast: 2.7% | Actual: 2.6% | Previous: 2.6% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
CPI m/m,01/13/2026,20:30,01/13/2026,21:30,Forecast: 0.3% | Actual: 0.3% | Previous: 0.3% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
CPI y/y,01/13/2026,20:30,01/13/2026,21:30,Forecast: 2.7% | Actual: 2.7% | Previous: 2.7% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Core PPI m/m,01/14/2026,20:30,01/14/2026,21:30,Forecast: 0.2% | Actual: 0.0% | Previous: 0.3% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Core Retail Sales m/m,01/14/2026,20:30,01/14/2026,21:30,Forecast: 0.4% | Actual: 0.5% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
PPI m/m,01/14/2026,20:30,01/14/2026,21:30,Forecast: 0.2% | Actual: 0.2% | Previous: 0.1% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Retail Sales m/m,01/14/2026,20:30,01/14/2026,21:30,Forecast: 0.5% | Actual: 0.6% | Previous: -0.1% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
GDP m/m,01/15/2026,14:00,01/15/2026,15:00,Forecast: 0.1% | Actual: 0.3% | Previous: -0.1% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
Unemployment Claims,01/15/2026,20:30,01/15/2026,21:30,Forecast: 215K | Actual: 198K | Previous: 207K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
BOE Gov Bailey Speaks,01/16/2026,17:00,01/16/2026,18:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
Claimant Count Change,01/20/2026,14:00,01/20/2026,15:00,Forecast: 15.6K | Actual: 17.9K | Previous: -3.3K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
BOE Gov Bailey Speaks,01/20/2026,16:45,01/20/2026,17:45,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
CPI y/y,01/21/2026,14:00,01/21/2026,15:00,Forecast: 3.3% | Actual: 3.4% | Previous: 3.2% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
President Trump Speaks,01/21/2026,20:30,01/21/2026,21:30,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Final GDP q/q,01/22/2026,20:30,01/22/2026,21:30,Forecast: 4.3% | Actual: 4.4% | Previous: 4.3% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Unemployment Claims,01/22/2026,20:30,01/22/2026,21:30,Forecast: 209K | Actual: 200K | Previous: 199K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Core PCE Price Index m/m,01/22/2026,22:00,01/22/2026,23:00,Forecast: 0.2% | Actual: 0.2% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Retail Sales m/m,01/23/2026,14:00,01/23/2026,15:00,Forecast: 0.0% | Actual: 0.4% | Previous: -0.1% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
German Flash Manufacturing PMI,01/23/2026,15:30,01/23/2026,16:30,Forecast: 47.8 | Actual: 48.7 | Previous: 47.0 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),EUR
German Flash Services PMI,01/23/2026,15:30,01/23/2026,16:30,Forecast: 52.6 | Actual: 53.3 | Previous: 52.7 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),EUR
Flash Manufacturing PMI,01/23/2026,16:30,01/23/2026,17:30,Forecast: 50.6 | Actual: 51.6 | Previous: 50.6 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
Flash Services PMI,01/23/2026,16:30,01/23/2026,17:30,Forecast: 51.7 | Actual: 54.3 | Previous: 51.4 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),GBP
Flash Manufacturing PMI,01/23/2026,21:45,01/23/2026,22:45,Forecast: 51.9 | Actual: 51.9 | Previous: 51.8 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Flash Services PMI,01/23/2026,21:45,01/23/2026,22:45,Forecast: 52.9 | Actual: 52.5 | Previous: 52.5 | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Federal Funds Rate,01/29/2026,02:00,01/29/2026,03:00,Forecast: 3.75% | Actual: 3.75% | Previous: 3.75% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
FOMC Statement,01/29/2026,02:00,01/29/2026,03:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
FOMC Press Conference,01/29/2026,02:30,01/29/2026,03:30,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Unemployment Claims,01/29/2026,20:30,01/29/2026,21:30,Forecast: 206K | Actual: 209K | Previous: 210K | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
Core PPI m/m,01/30/2026,20:30,01/30/2026,21:30,Forecast: 0.2% | Actual: 0.7% | Previous: 0.0% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
PPI m/m,01/30/2026,20:30,01/30/2026,21:30,Forecast: 0.2% | Actual: 0.5% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Los_Angeles),USD
