Subject,Start Date,Start Time,End Date,End Time,Description,Location
ISM Manufacturing PMI,02/02/2026,22:00,02/02/2026,23:00,Forecast: 48.5 | Actual: 52.6 | Previous: 47.9 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
ADP Non-Farm Employment Change,02/04/2026,20:15,02/04/2026,21:15,Forecast: 46K | Actual: 22K | Previous: 37K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
ISM Services PMI,02/04/2026,22:00,02/04/2026,23:00,Forecast: 53.5 | Actual: 53.8 | Previous: 54.4 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
BOE Monetary Policy Report,02/05/2026,19:00,02/05/2026,20:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Monetary Policy Summary,02/05/2026,19:00,02/05/2026,20:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
MPC Official Bank Rate Votes,02/05/2026,19:00,02/05/2026,20:00,Forecast: 0-2-7 | Actual: 0-4-5 | Previous: 0-5-4 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Official Bank Rate,02/05/2026,19:00,02/05/2026,20:00,Forecast: 3.75% | Actual: 3.75% | Previous: 3.75% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
BOE Gov Bailey Speaks,02/05/2026,19:30,02/05/2026,20:30,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Main Refinancing Rate,02/05/2026,20:15,02/05/2026,21:15,Forecast: 2.15% | Actual: 2.15% | Previous: 2.15% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
Monetary Policy Statement,02/05/2026,20:15,02/05/2026,21:15,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
Unemployment Claims,02/05/2026,20:30,02/05/2026,21:30,Forecast: 212K | Actual: 231K | Previous: 209K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
ECB Press Conference,02/05/2026,20:45,02/05/2026,21:45,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
