Subject,Start Date,Start Time,End Date,End Time,Description,Location
ADP Non-Farm Employment Change,04/01/2026,19:15,04/01/2026,20:15,Forecast: 41K | Actual: 62K | Previous: 66K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core Retail Sales m/m,04/01/2026,19:30,04/01/2026,20:30,Forecast: 0.3% | Actual: 0.5% | Previous: 0.0% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Retail Sales m/m,04/01/2026,19:30,04/01/2026,20:30,Forecast: 0.5% | Actual: 0.6% | Previous: -0.1% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
ISM Manufacturing PMI,04/01/2026,21:00,04/01/2026,22:00,Forecast: 52.3 | Actual: 52.7 | Previous: 52.4 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
President Trump Speaks,04/02/2026,08:00,04/02/2026,09:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Unemployment Claims,04/02/2026,19:30,04/02/2026,20:30,Forecast: 212K | Actual: 202K | Previous: 211K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Average Hourly Earnings m/m,04/03/2026,19:30,04/03/2026,20:30,Forecast: 0.3% | Actual: 0.2% | Previous: 0.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Non-Farm Employment Change,04/03/2026,19:30,04/03/2026,20:30,Forecast: 65K | Actual: 178K | Previous: -133K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Unemployment Rate,04/03/2026,19:30,04/03/2026,20:30,Forecast: 4.4% | Actual: 4.3% | Previous: 4.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
ISM Services PMI,04/06/2026,21:00,04/06/2026,22:00,Forecast: 54.8 | Actual: 54.0 | Previous: 56.1 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
President Trump Speaks,04/07/2026,00:00,04/07/2026,01:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
FOMC Meeting Minutes,04/09/2026,01:00,04/09/2026,02:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core PCE Price Index m/m,04/09/2026,19:30,04/09/2026,20:30,Forecast: 0.4% | Actual: 0.4% | Previous: 0.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Final GDP q/q,04/09/2026,19:30,04/09/2026,20:30,Forecast: 0.7% | Actual: 0.5% | Previous: 0.7% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core CPI m/m,04/10/2026,19:30,04/10/2026,20:30,Forecast: 0.3% | Actual: 0.2% | Previous: 0.2% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core CPI y/y,04/10/2026,19:30,04/10/2026,20:30,Forecast: 2.7% | Actual: 2.6% | Previous: 2.5% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
CPI m/m,04/10/2026,19:30,04/10/2026,20:30,Forecast: 1.0% | Actual: 0.9% | Previous: 0.3% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
CPI y/y,04/10/2026,19:30,04/10/2026,20:30,Forecast: 3.4% | Actual: 3.3% | Previous: 2.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core PPI m/m,04/14/2026,19:30,04/14/2026,20:30,Forecast: 0.4% | Actual: 0.1% | Previous: 0.3% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
PPI m/m,04/14/2026,19:30,04/14/2026,20:30,Forecast: 1.1% | Actual: 0.5% | Previous: 0.5% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
GDP m/m,04/16/2026,13:00,04/16/2026,14:00,Forecast: 0.1% | Actual: 0.5% | Previous: 0.1% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Claimant Count Change,04/21/2026,13:00,04/21/2026,14:00,Forecast: 22.6K | Actual: 26.8K | Previous: 17.1K | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Core Retail Sales m/m,04/21/2026,19:30,04/21/2026,20:30,Forecast: 1.4% | Actual: 1.9% | Previous: 0.7% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Retail Sales m/m,04/21/2026,19:30,04/21/2026,20:30,Forecast: 1.4% | Actual: 1.7% | Previous: 0.7% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Fed Chairman Warsh Testifies,04/21/2026,21:00,04/21/2026,22:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
CPI y/y,04/22/2026,13:00,04/22/2026,14:00,Forecast: 3.3% | Actual: 3.3% | Previous: 3.0% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
German Flash Manufacturing PMI,04/23/2026,14:30,04/23/2026,15:30,Forecast: 51.4 | Actual: 51.2 | Previous: 52.2 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
German Flash Services PMI,04/23/2026,14:30,04/23/2026,15:30,Forecast: 50.4 | Actual: 46.9 | Previous: 50.9 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
Flash Manufacturing PMI,04/23/2026,15:30,04/23/2026,16:30,Forecast: 50.3 | Actual: 53.6 | Previous: 51.0 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Flash Services PMI,04/23/2026,15:30,04/23/2026,16:30,Forecast: 50.0 | Actual: 52.0 | Previous: 50.5 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Retail Sales m/m,04/24/2026,13:00,04/24/2026,14:00,Forecast: 0.0% | Actual: 0.7% | Previous: -0.6% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Federal Funds Rate,04/30/2026,01:00,04/30/2026,02:00,Forecast: 3.75% | Actual: 3.75% | Previous: 3.75% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
FOMC Statement,04/30/2026,01:00,04/30/2026,02:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
FOMC Press Conference,04/30/2026,01:30,04/30/2026,02:30,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
BOE Monetary Policy Report,04/30/2026,18:00,04/30/2026,19:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Monetary Policy Summary,04/30/2026,18:00,04/30/2026,19:00,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
MPC Official Bank Rate Votes,04/30/2026,18:00,04/30/2026,19:00,Forecast: 1-0-8 | Actual: 1-0-8 | Previous: 0-0-9 | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Official Bank Rate,04/30/2026,18:00,04/30/2026,19:00,Forecast: 3.75% | Actual: 3.75% | Previous: 3.75% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
BOE Gov Bailey Speaks,04/30/2026,18:30,04/30/2026,19:30,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),GBP
Main Refinancing Rate,04/30/2026,19:15,04/30/2026,20:15,Forecast: 2.15% | Actual: 2.15% | Previous: 2.15% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
Monetary Policy Statement,04/30/2026,19:15,04/30/2026,20:15,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
Advance GDP q/q,04/30/2026,19:30,04/30/2026,20:30,Forecast: 2.2% | Actual: 2.0% | Previous: 0.5% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Core PCE Price Index m/m,04/30/2026,19:30,04/30/2026,20:30,Forecast: 0.3% | Actual: 0.3% | Previous: 0.4% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
Employment Cost Index q/q,04/30/2026,19:30,04/30/2026,20:30,Forecast: 0.8% | Actual: 0.9% | Previous: 0.7% | TZ: Asia/Ho_Chi_Minh (from America/Chicago),USD
ECB Press Conference,04/30/2026,19:45,04/30/2026,20:45,Forecast: N/A | Actual: N/A | Previous: N/A | TZ: Asia/Ho_Chi_Minh (from America/Chicago),EUR
