Subject,Start Date,Start Time,End Date,End Time,Description,Location
Claimant Count Change,08/13/2024,13:00,08/13/2024,14:00,Forecast: 14.5K | Previous: 32.3K | https://www.forexfactory.com/calendar/68-uk-claimant-count-change,GBP
Core PPI m/m,08/13/2024,19:30,08/13/2024,20:30,Forecast: 0.2% | Previous: 0.4% | https://www.forexfactory.com/calendar/87-us-core-ppi-mm,USD
PPI m/m,08/13/2024,19:30,08/13/2024,20:30,Forecast: 0.2% | Previous: 0.2% | https://www.forexfactory.com/calendar/86-us-ppi-mm,USD
CPI y/y,08/14/2024,13:00,08/14/2024,14:00,Forecast: 2.3% | Previous: 2.0% | https://www.forexfactory.com/calendar/82-uk-cpi-yy,GBP
Core CPI m/m,08/14/2024,19:30,08/14/2024,20:30,Forecast: 0.2% | Previous: 0.1% | https://www.forexfactory.com/calendar/79-us-core-cpi-mm,USD
CPI m/m,08/14/2024,19:30,08/14/2024,20:30,Forecast: 0.2% | Previous: -0.1% | https://www.forexfactory.com/calendar/78-us-cpi-mm,USD
CPI y/y,08/14/2024,19:30,08/14/2024,20:30,Forecast: 3.0% | Previous: 3.0% | https://www.forexfactory.com/calendar/884-us-cpi-yy,USD
GDP m/m,08/15/2024,13:00,08/15/2024,14:00,Forecast: 0.1% | Previous: 0.4% | https://www.forexfactory.com/calendar/804-uk-gdp-mm,GBP
Core Retail Sales m/m,08/15/2024,19:30,08/15/2024,20:30,Forecast: 0.1% | Previous: 0.4% | https://www.forexfactory.com/calendar/112-us-core-retail-sales-mm,USD
Retail Sales m/m,08/15/2024,19:30,08/15/2024,20:30,Forecast: 0.4% | Previous: 0.0% | https://www.forexfactory.com/calendar/102-us-retail-sales-mm,USD
Unemployment Claims,08/15/2024,19:30,08/15/2024,20:30,Forecast: 235K | Previous: 233K | https://www.forexfactory.com/calendar/11-us-unemployment-claims,USD
Retail Sales m/m,08/16/2024,13:00,08/16/2024,14:00,Forecast: 0.6% | Previous: -1.2% | https://www.forexfactory.com/calendar/105-uk-retail-sales-mm,GBP
